node,inj_node,volume
1,2,5.538888931274414
1,3,5.2916669845581055
1,4,1.6325139999389648
1,5,1.596402883529663
1,6,1.3950140476226807
1,7,1.1158473491668701
1,8,0.7408473491668701
1,9,0.5880695581436157
1,10,0.7013888955116272
1,11,0.5555555820465088
1,12,0.4166666567325592
1,13,0.2611111104488373
1,14,0.42998600006103516
1,15,0.5077638030052185
1,16,1.0471757650375366
1,17,1.287453532218933
1,18,1.6610647439956665
1,19,1.6777313947677612
1,20,1.7453101873397827
1,21,0.3930555582046509
1,22,0.13472221791744232
1,23,0.998088002204895
1,24,0.3994669020175934
1,25,0.2722122371196747
1,26,0.35052311420440674
1,27,0.4533008933067322
1,28,0.3083433210849762
1,29,0.2277877777814865
1,30,0.1277877688407898
1,31,0.02916666492819786
1,32,0.22499001026153564
10,2,5.538888931274414
10,3,5.2916669845581055
10,4,1.6325139999389648
10,5,1.596402883529663
10,6,1.3950140476226807
10,7,1.1158473491668701
10,8,0.7408473491668701
10,9,0.5880695581436157
10,10,0.1458333432674408
10,11,0.5555555820465088
10,12,0.4166666567325592
10,13,0.2611111104488373
10,14,0.42998600006103516
10,15,0.5077638030052185
10,16,1.0471757650375366
10,17,1.287453532218933
10,18,1.6610647439956665
10,19,1.6777313947677612
10,20,1.7453101873397827
10,21,0.3930555582046509
10,22,0.13472221791744232
10,23,0.998088002204895
10,24,0.3994669020175934
10,25,0.2722122371196747
10,26,0.35052311420440674
10,27,0.4533008933067322
10,28,0.3083433210849762
10,29,0.2277877777814865
10,30,0.1277877688407898
10,31,0.02916666492819786
10,32,0.22499001026153564
11,2,5.538888931274414
11,3,5.2916669845581055
11,4,1.6325139999389648
11,5,1.596402883529663
11,6,1.3950140476226807
11,7,1.1158473491668701
11,8,0.7408473491668701
11,9,0.5880695581436157
11,10,0.7013888955116272
11,11,0.1388888955116272
11,12,0.4166666567325592
11,13,0.2611111104488373
11,14,0.42998600006103516
11,15,0.5077638030052185
11,16,1.0471757650375366
11,17,1.287453532218933
11,18,1.6610647439956665
11,19,1.6777313947677612
11,20,1.7453101873397827
11,21,0.3930555582046509
11,22,0.13472221791744232
11,23,0.998088002204895
11,24,0.3994669020175934
11,25,0.2722122371196747
11,26,0.35052311420440674
11,27,0.4533008933067322
11,28,0.3083433210849762
11,29,0.2277877777814865
11,30,0.1277877688407898
11,31,0.02916666492819786
11,32,0.22499001026153564
12,2,5.538888931274414
12,3,5.2916669845581055
12,4,1.6325139999389648
12,5,1.596402883529663
12,6,1.3950140476226807
12,7,1.1158473491668701
12,8,0.7408473491668701
12,9,0.5880695581436157
12,10,0.7013888955116272
12,11,0.5555555820465088
12,12,0.15555556118488312
12,13,0.2611111104488373
12,14,0.42998600006103516
12,15,0.5077638030052185
12,16,1.0471757650375366
12,17,1.287453532218933
12,18,1.6610647439956665
12,19,1.6777313947677612
12,20,1.7453101873397827
12,21,0.3930555582046509
12,22,0.13472221791744232
12,23,0.998088002204895
12,24,0.3994669020175934
12,25,0.2722122371196747
12,26,0.35052311420440674
12,27,0.4533008933067322
12,28,0.3083433210849762
12,29,0.2277877777814865
12,30,0.1277877688407898
12,31,0.02916666492819786
12,32,0.22499001026153564
13,2,5.538888931274414
13,3,5.2916669845581055
13,4,1.6325139999389648
13,5,1.596402883529663
13,6,1.3950140476226807
13,7,1.1158473491668701
13,8,0.7408473491668701
13,9,0.5880695581436157
13,10,0.7013888955116272
13,11,0.5555555820465088
13,12,0.4166666567325592
13,13,0.2611111104488373
13,14,0.42998600006103516
13,15,0.5077638030052185
13,16,1.0471757650375366
13,17,1.287453532218933
13,18,1.6610647439956665
13,19,1.6777313947677612
13,20,1.7453101873397827
13,21,0.3930555582046509
13,22,0.13472221791744232
13,23,0.998088002204895
13,24,0.3994669020175934
13,25,0.2722122371196747
13,26,0.35052311420440674
13,27,0.4533008933067322
13,28,0.3083433210849762
13,29,0.2277877777814865
13,30,0.1277877688407898
13,31,0.02916666492819786
13,32,0.22499001026153564
14,2,5.538888931274414
14,3,5.2916669845581055
14,4,1.6325139999389648
14,5,1.596402883529663
14,6,1.3950140476226807
14,7,1.1158473491668701
14,8,0.7408473491668701
14,9,0.5880695581436157
14,10,0.7013888955116272
14,11,0.5555555820465088
14,12,0.4166666567325592
14,13,0.2611111104488373
14,14,0.17083331942558289
14,15,0.5077638030052185
14,16,1.0471757650375366
14,17,1.287453532218933
14,18,1.6610647439956665
14,19,1.6777313947677612
14,20,1.7453101873397827
14,21,0.3930555582046509
14,22,0.13472221791744232
14,23,0.998088002204895
14,24,0.3994669020175934
14,25,0.2722122371196747
14,26,0.35052311420440674
14,27,0.4533008933067322
14,28,0.3083433210849762
14,29,0.2277877777814865
14,30,0.1277877688407898
14,31,0.02916666492819786
14,32,0.22499001026153564
15,2,5.538888931274414
15,3,5.2916669845581055
15,4,1.6325139999389648
15,5,1.596402883529663
15,6,1.3950140476226807
15,7,1.1158473491668701
15,8,0.7408473491668701
15,9,0.5880695581436157
15,10,0.7013888955116272
15,11,0.5555555820465088
15,12,0.4166666567325592
15,13,0.2611111104488373
15,14,0.42998600006103516
15,15,0.07777778059244156
15,16,1.0471757650375366
15,17,1.287453532218933
15,18,1.6610647439956665
15,19,1.6777313947677612
15,20,1.7453101873397827
15,21,0.3930555582046509
