node,inj_node,volume
1,1,0.03154509887099266
1,2,0.14613835513591766
1,3,0.06315509229898453
1,4,0.11349242925643921
1,5,0.045424941927194595
1,6,0.045424941927194595
1,7,0.045424941927194595
1,8,0.13062945008277893
1,9,0.03028329834342003
1,10,0.05107032507658005
1,11,0.03089527040719986
1,12,0.09529338032007217
1,13,0.1722230315208435
1,14,0.16012486815452576
1,15,0.0922900140285492
1,16,0.058220721781253815
1,17,0.17353829741477966
1,18,0.07825494557619095
1,19,0.1009325459599495
1,20,0.05167994275689125
1,21,0.14838814735412598
1,22,0.14838817715644836
10,1,0.2769200801849365
10,2,0.14613835513591766
10,3,0.06315509229898453
10,4,0.11349242925643921
10,5,0.045424941927194595
10,6,0.045424941927194595
10,7,0.045424941927194595
10,8,0.13062945008277893
10,9,0.03028329834342003
10,10,0.025236079469323158
10,11,0.025548620149493217
10,12,0.062029317021369934
10,13,0.12492439150810242
10,14,0.16012486815452576
10,15,0.0922900140285492
10,16,0.058220721781253815
10,17,0.12201040238142014
10,18,0.056036364287137985
10,19,0.1009325459599495
10,20,0.2769200801849365
10,21,0.14838814735412598
10,22,0.0708351582288742
11,1,0.05167994275689125
11,2,0.14613835513591766
11,3,0.06315509229898453
11,4,0.11349242925643921
11,5,0.045424941927194595
11,6,0.045424941927194595
11,7,0.045424941927194595
11,8,0.13062945008277893
11,9,0.03028329834342003
11,10,0.05107032507658005
11,11,0.025236079469323158
11,12,0.05678117647767067
11,13,0.1722230315208435
11,14,0.16012486815452576
11,15,0.0922900140285492
11,16,0.058220721781253815
11,17,0.17353829741477966
11,18,0.07825494557619095
11,19,0.1009325459599495
11,20,0.05167994275689125
11,21,0.14838814735412598
11,22,0.14838817715644836
12,1,0.05167994275689125
12,2,0.14613835513591766
12,3,0.06315509229898453
12,4,0.11349242925643921
12,5,0.045424941927194595
12,6,0.045424941927194595
12,7,0.045424941927194595
12,8,0.13062945008277893
12,9,0.03028329834342003
12,10,0.05107032507658005
12,11,0.03089527040719986
12,12,0.03154509887099266
12,13,0.1722230315208435
12,14,0.16012486815452576
12,15,0.0922900140285492
12,16,0.058220721781253815
12,17,0.17353829741477966
12,18,0.07825494557619095
12,19,0.1009325459599495
12,20,0.05167994275689125
12,21,0.14838814735412598
12,22,0.14838817715644836
13,1,0.05167994275689125
13,2,0.14613835513591766
13,3,0.06315509229898453
13,4,0.11349242925643921
13,5,0.045424941927194595
13,6,0.045424941927194595
